role_id,role_label,model_id,scheme_id,scheme_source,fe_label,variables,variable_count,climate_variable_count,temperature_proxy,hydro_variables,selection_rule,reason,coef_R1xday,p_R1xday,coef_AMC,p_AMC,r2_model,max_vif_z,scenario_count,positive_scenario_count,all_climate_delta,r1xday_delta,temperature_delta,joint_delta,strongest_scenario,strongest_scenario_delta,weakest_scenario,weakest_scenario_delta,all_climate_avg_top_provinces,all_climate_avg_bottom_provinces,all_climate_latest_top_provinces,all_climate_latest_bottom_provinces
main_model,主模型,SYS_08952 | Province: No / Year: Yes,SYS_08952,systematic,Province: No / Year: Yes,R1xday | 抗菌药物使用强度 | TA（°C） | 氮氧化物 | 医疗水平 | 人均日生活用水量(升) | 牲畜饲养-猪年底头数 | 文盲比例,8,2,TA（°C）,R1xday,SYS_08952-prioritized + Year FE + story-first candidate,"SYS_08952 is prioritized as the final paper's main model because it is a compact high-ranking Year FE specification with positive and significant R1xday, AMC, TA, and NOx signals.",0.1378604346402795,0.0469488814481784,0.1215112893312374,0.0055387531920609,0.4578397599580358,1.7080196846881843,3,3,0.12239477964094064,0.019618914272356378,0.10277586536858427,,所有气候变量恢复基准,0.12239477964094064,仅 R1xday 恢复基准,0.019618914272356378,上海、新疆、江苏,海南、云南、内蒙古,上海、北京、新疆,海南、内蒙古、西藏
strict_main_model,严筛主模型,SYS_09851 | Province: No / Year: Yes,SYS_09851,systematic,Province: No / Year: Yes,R1xday | 抗菌药物使用强度 | TA（°C） | PM2.5 | 医疗水平 | 卫生程度（日污水处理能力） | 牲畜饲养-猪年底头数 | 食品消费量,8,2,TA（°C）,R1xday,R1xday / AMC / TA 显著 + PM2.5 + 其他系数不为负,作为严筛主模型进入后续分析。,0.1285306286023753,0.0344698096446054,0.1057129811562968,0.0193063779592099,0.4276299979124666,1.7211445207083764,3,3,0.12145929703424736,0.01829118985807489,0.10316810717617247,,所有气候变量恢复基准,0.12145929703424736,仅 R1xday 恢复基准,0.01829118985807489,上海、新疆、江苏,海南、云南、内蒙古,上海、新疆、北京,海南、内蒙古、西藏
strict_top_02,严筛模型 2,SYS_10001 | Province: No / Year: Yes,SYS_10001,systematic,Province: No / Year: Yes,R1xday | 抗菌药物使用强度 | TA（°C） | PM2.5 | 医疗水平 | 饮用水供水综合生产能力(万立方米/日) | 牲畜饲养-猪年底头数 | 食品消费量,8,2,TA（°C）,R1xday,R1xday / AMC / TA 显著 + PM2.5 + 其他系数不为负,作为严筛并列候选 #2，用于稳健性与异质性比较。,0.1352099504705239,0.0316157984616889,0.1057412228683963,0.0184126351563778,0.425447482788186,1.7285688726687878,3,3,0.12189000300929574,0.019241723950547546,0.10264827905874821,,所有气候变量恢复基准,0.12189000300929574,仅 R1xday 恢复基准,0.019241723950547546,上海、新疆、江苏,海南、云南、内蒙古,上海、北京、新疆,海南、内蒙古、西藏
strict_top_03,严筛模型 3,SYS_10002 | Province: No / Year: Yes,SYS_10002,systematic,Province: No / Year: Yes,R1xday | 抗菌药物使用强度 | TA（°C） | PM2.5 | 医疗水平 | 饮用水供水综合生产能力(万立方米/日) | 牲畜饲养-猪年底头数 | 文盲比例,8,2,TA（°C）,R1xday,R1xday / AMC / TA 显著 + PM2.5 + 其他系数不为负,作为严筛并列候选 #3，用于稳健性与异质性比较。,0.132563773299573,0.0482524926133764,0.110091588379202,0.0151929888340331,0.4230334045458238,1.822409026507411,3,3,0.14557038167381728,0.01886514655760797,0.1267052351162093,,所有气候变量恢复基准,0.14557038167381728,仅 R1xday 恢复基准,0.01886514655760797,新疆、上海、江苏,海南、云南、内蒙古,新疆、上海、北京,海南、内蒙古、西藏
strict_top_04,严筛模型 4,SYS_09941 | Province: No / Year: Yes,SYS_09941,systematic,Province: No / Year: Yes,R1xday | 抗菌药物使用强度 | TA（°C） | PM2.5 | 医疗水平 | 城市用水普及率 | 牲畜饲养-猪年底头数 | PA（%） | 食品消费量,9,3,TA（°C）,R1xday | PA（%）,R1xday / AMC / TA 显著 + PM2.5 + 其他系数不为负,作为严筛并列候选 #4，用于稳健性与异质性比较。,0.143485217770118,0.0486297390672487,0.1222713898553088,0.0074355577127309,0.4088373371756515,1.789640299554322,4,4,0.13491548019064242,0.02041937698896424,0.11434195652859012,0.13476133351755437,所有气候变量恢复基准,0.13491548019064242,仅 R1xday 恢复基准,0.02041937698896424,上海、新疆、江苏,海南、云南、内蒙古,上海、新疆、北京,海南、内蒙古、西藏
strict_top_05,严筛模型 5,SYS_09926 | Province: No / Year: Yes,SYS_09926,systematic,Province: No / Year: Yes,R1xday | 抗菌药物使用强度 | TA（°C） | PM2.5 | 医疗水平 | 城市用水普及率 | 牲畜饲养-猪年底头数 | 食品消费量,8,2,TA（°C）,R1xday,R1xday / AMC / TA 显著 + PM2.5 + 其他系数不为负,作为严筛并列候选 #5，用于稳健性与异质性比较。,0.1435952493025688,0.0274535534649327,0.1222751677920434,0.0074079905584321,0.4088370488758063,1.7490463540320311,3,3,0.13469151953493672,0.020435035573010053,0.11425648396192667,,所有气候变量恢复基准,0.13469151953493672,仅 R1xday 恢复基准,0.020435035573010053,上海、新疆、江苏,海南、云南、内蒙古,上海、新疆、北京,海南、内蒙古、西藏
strict_top_06,严筛模型 6,SYS_09927 | Province: No / Year: Yes,SYS_09927,systematic,Province: No / Year: Yes,R1xday | 抗菌药物使用强度 | TA（°C） | PM2.5 | 医疗水平 | 城市用水普及率 | 牲畜饲养-猪年底头数 | 文盲比例,8,2,TA（°C）,R1xday,R1xday / AMC / TA 显著 + PM2.5 + 其他系数不为负,作为严筛并列候选 #6，用于稳健性与异质性比较。,0.1432111958897139,0.0403418107859661,0.1245634961317869,0.0070854614913498,0.4084681874472157,1.861589862732211,3,3,0.1596542369717797,0.020380380943475003,0.1392738560283047,,所有气候变量恢复基准,0.1596542369717797,仅 R1xday 恢复基准,0.020380380943475003,新疆、上海、江苏,海南、云南、内蒙古,新疆、上海、北京,海南、内蒙古、西藏
strict_top_07,严筛模型 7,SYS_09791 | Province: No / Year: Yes,SYS_09791,systematic,Province: No / Year: Yes,R1xday | 抗菌药物使用强度 | TA（°C） | PM2.5 | 医疗水平 | 生活垃圾无害化处理率 | 牲畜饲养-猪年底头数 | PA（%） | 食品消费量,9,3,TA（°C）,R1xday | PA（%）,R1xday / AMC / TA 显著 + PM2.5 + 其他系数不为负,作为严筛并列候选 #7，用于稳健性与异质性比较。,0.1469036662003963,0.0446199051976146,0.120697077592715,0.0088289410403672,0.405048472432325,1.8432958857286188,4,4,0.14521711668060566,0.020905856281395727,0.12359875019650021,0.14450460647789592,所有气候变量恢复基准,0.14521711668060566,仅 R1xday 恢复基准,0.020905856281395727,上海、新疆、江苏,海南、云南、内蒙古,上海、新疆、北京,海南、内蒙古、西藏
strict_top_08,严筛模型 8,SYS_09776 | Province: No / Year: Yes,SYS_09776,systematic,Province: No / Year: Yes,R1xday | 抗菌药物使用强度 | TA（°C） | PM2.5 | 医疗水平 | 生活垃圾无害化处理率 | 牲畜饲养-猪年底头数 | 食品消费量,8,2,TA（°C）,R1xday,R1xday / AMC / TA 显著 + PM2.5 + 其他系数不为负,作为严筛并列候选 #8，用于稳健性与异质性比较。,0.1474014425536451,0.0241275210618998,0.1207117585081428,0.0088053710271067,0.4050423247347506,1.801001555430177,3,3,0.1441970658955626,0.02097669481912903,0.12322037107643355,,所有气候变量恢复基准,0.1441970658955626,仅 R1xday 恢复基准,0.02097669481912903,上海、新疆、江苏,海南、云南、内蒙古,上海、新疆、北京,海南、内蒙古、西藏
robust_systematic,稳健性模型 2,SYS_09556 | Province: No / Year: Yes,SYS_09556,systematic,Province: No / Year: Yes,R1xday | 抗菌药物使用强度 | TA（°C） | PM2.5 | GDP | 城市用水普及率 | 牲畜饲养-猪年底头数 | 主要城市降水量 | 食品消费量,9,3,TA（°C）,R1xday | 主要城市降水量,hand-picked + Year FE + systematic bridge candidate,Used to show the result does not rely only on manually curated bundles.,0.1812432996167564,0.0218372297507352,0.1164206832956922,0.0054403730794863,0.361691613754023,1.8630223924966105,4,4,0.09283590110750024,0.025792728471358134,0.0810639704094966,0.10685669888085472,R1xday + 温度变量共同恢复基准,0.10685669888085472,仅 R1xday 恢复基准,0.025792728471358134,上海、新疆、江苏,海南、云南、内蒙古,北京、上海、新疆,海南、福建、山东
