predictor,coef,role_id,role_label,scheme_id
省平均气温,0.10830190663573594,main_model,主模型,方案A_平衡主线组
R1xday,0.8686132716787496,main_model,主模型,方案A_平衡主线组
PM2.5,0.3670859113361203,main_model,主模型,方案A_平衡主线组
抗菌药物使用强度,0.7773326943400949,main_model,主模型,方案A_平衡主线组
GDP,1.0966817203347188,main_model,主模型,方案A_平衡主线组
文盲比例,0.5474720011010287,main_model,主模型,方案A_平衡主线组
人均日生活用水量(升),-0.5810535783300468,main_model,主模型,方案A_平衡主线组
"牲畜饲养
-猪年底头数",0.4651575801397133,main_model,主模型,方案A_平衡主线组
TA（°C）,0.5082798550132395,robust_low_vif,稳健性模型 1,方案F_低VIF主线组
R1xday,0.8728366167836531,robust_low_vif,稳健性模型 1,方案F_低VIF主线组
PM2.5,0.38544665557830743,robust_low_vif,稳健性模型 1,方案F_低VIF主线组
抗菌药物使用强度,0.7622584481250676,robust_low_vif,稳健性模型 1,方案F_低VIF主线组
GDP,1.0035438599938886,robust_low_vif,稳健性模型 1,方案F_低VIF主线组
文盲比例,0.6546630030427295,robust_low_vif,稳健性模型 1,方案F_低VIF主线组
人均日生活用水量(升),-0.5657961488264756,robust_low_vif,稳健性模型 1,方案F_低VIF主线组
"牲畜饲养
-猪年底头数",0.4456552942974856,robust_low_vif,稳健性模型 1,方案F_低VIF主线组
主要城市日照时数,-0.18152966743514334,robust_low_vif,稳健性模型 1,方案F_低VIF主线组
R1xday,1.0637597396111496,robust_systematic,稳健性模型 2,SYS_09556
抗菌药物使用强度,0.7029203300612673,robust_systematic,稳健性模型 2,SYS_09556
TA（°C）,0.3178571152716953,robust_systematic,稳健性模型 2,SYS_09556
PM2.5,0.18850637799965306,robust_systematic,稳健性模型 2,SYS_09556
GDP,1.0907232403107088,robust_systematic,稳健性模型 2,SYS_09556
城市用水普及率,0.19880740269219868,robust_systematic,稳健性模型 2,SYS_09556
"牲畜饲养
-猪年底头数",0.6133250844428078,robust_systematic,稳健性模型 2,SYS_09556
主要城市降水量,-0.6977989464629853,robust_systematic,稳健性模型 2,SYS_09556
食品消费量,0.3890430936698348,robust_systematic,稳健性模型 2,SYS_09556
省平均气温,3.1107337246123685,robust_strict_fe,稳健性模型 3,方案A_平衡主线组
R1xday,0.04173294571113546,robust_strict_fe,稳健性模型 3,方案A_平衡主线组
PM2.5,0.16765503842399762,robust_strict_fe,稳健性模型 3,方案A_平衡主线组
抗菌药物使用强度,0.023893877942636418,robust_strict_fe,稳健性模型 3,方案A_平衡主线组
GDP,-0.4364671854072033,robust_strict_fe,稳健性模型 3,方案A_平衡主线组
文盲比例,0.8865769925403373,robust_strict_fe,稳健性模型 3,方案A_平衡主线组
人均日生活用水量(升),0.4091803123954727,robust_strict_fe,稳健性模型 3,方案A_平衡主线组
"牲畜饲养
-猪年底头数",-0.9764887320439765,robust_strict_fe,稳健性模型 3,方案A_平衡主线组
