parameter,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,effect_scope,variable,variant_id,variant_label,model_id,scheme_id,scheme_source,fe_label
alpha,0.004,0.112,-0.232,0.212,0.003,0.002,1094.0,1682.0,1.01,global,,province_only_amplification,Province-only amplification,方案A_平衡主线组 | Province: Yes / Year: Yes,方案A_平衡主线组,curated,Province: Yes / Year: Yes
beta_main[省平均气温],0.231,0.124,-0.01,0.473,0.003,0.002,1544.0,1979.0,1.0,main,省平均气温,province_only_amplification,Province-only amplification,方案A_平衡主线组 | Province: Yes / Year: Yes,方案A_平衡主线组,curated,Province: Yes / Year: Yes
beta_main[R1xday],-0.028,0.025,-0.075,0.024,0.0,0.0,4631.0,2957.0,1.0,main,R1xday,province_only_amplification,Province-only amplification,方案A_平衡主线组 | Province: Yes / Year: Yes,方案A_平衡主线组,curated,Province: Yes / Year: Yes
beta_main[PM2.5],0.118,0.027,0.066,0.172,0.0,0.0,3959.0,3032.0,1.0,main,PM2.5,province_only_amplification,Province-only amplification,方案A_平衡主线组 | Province: Yes / Year: Yes,方案A_平衡主线组,curated,Province: Yes / Year: Yes
beta_main[抗菌药物使用强度],0.024,0.021,-0.018,0.065,0.0,0.0,4798.0,2615.0,1.0,main,抗菌药物使用强度,province_only_amplification,Province-only amplification,方案A_平衡主线组 | Province: Yes / Year: Yes,方案A_平衡主线组,curated,Province: Yes / Year: Yes
beta_main[GDP],-0.23,0.057,-0.342,-0.118,0.001,0.001,2836.0,2205.0,1.0,main,GDP,province_only_amplification,Province-only amplification,方案A_平衡主线组 | Province: Yes / Year: Yes,方案A_平衡主线组,curated,Province: Yes / Year: Yes
beta_main[文盲比例],0.136,0.034,0.068,0.201,0.001,0.001,3763.0,2788.0,1.0,main,文盲比例,province_only_amplification,Province-only amplification,方案A_平衡主线组 | Province: Yes / Year: Yes,方案A_平衡主线组,curated,Province: Yes / Year: Yes
beta_main[人均日生活用水量(升)],-0.084,0.053,-0.19,0.018,0.001,0.001,4131.0,2870.0,1.0,main,人均日生活用水量(升),province_only_amplification,Province-only amplification,方案A_平衡主线组 | Province: Yes / Year: Yes,方案A_平衡主线组,curated,Province: Yes / Year: Yes
"beta_main[牲畜饲养
-猪年底头数]",0.153,0.066,0.03,0.281,0.001,0.001,2534.0,2379.0,1.0,main,"牲畜饲养
-猪年底头数",province_only_amplification,Province-only amplification,方案A_平衡主线组 | Province: Yes / Year: Yes,方案A_平衡主线组,curated,Province: Yes / Year: Yes
beta_interaction[R1xday × 抗菌药物使用强度],0.037,0.019,0.002,0.073,0.0,0.0,4380.0,2983.0,1.0,interaction,R1xday × 抗菌药物使用强度,province_only_amplification,Province-only amplification,方案A_平衡主线组 | Province: Yes / Year: Yes,方案A_平衡主线组,curated,Province: Yes / Year: Yes
sigma_residual,0.247,0.011,0.226,0.27,0.0,0.0,3056.0,2764.0,1.0,global,,province_only_amplification,Province-only amplification,方案A_平衡主线组 | Province: Yes / Year: Yes,方案A_平衡主线组,curated,Province: Yes / Year: Yes
sigma_province,0.643,0.092,0.474,0.825,0.003,0.002,998.0,1816.0,1.01,global,,province_only_amplification,Province-only amplification,方案A_平衡主线组 | Province: Yes / Year: Yes,方案A_平衡主线组,curated,Province: Yes / Year: Yes
