role_id,role_label,model_id,scheme_id,scheme_source,fe_label,variables,variable_count,temperature_proxy,coef_r1xday,coef_amc,coef_temperature_proxy,largest_abs_predictor,largest_abs_predictor_coef,baseline_pred_start,baseline_pred_end,baseline_pred_change,baseline_vs_last_observed,strongest_scenario_id,strongest_scenario_label,strongest_scenario_delta,weakest_scenario_id,weakest_scenario_label,weakest_scenario_delta,delta_spread_2050,scenario_count,top_provinces_under_strongest,bottom_provinces_under_strongest
main_model,主模型,SYS_08952 | Province: No / Year: Yes,SYS_08952,systematic,Province: No / Year: Yes,R1xday | 抗菌药物使用强度 | TA（°C） | 氮氧化物 | 医疗水平 | 人均日生活用水量(升) | 牲畜饲养-猪年底头数 | 文盲比例,8,TA（°C）,0.8681434804323386,0.7386021840174268,0.5511428509276627,医疗水平,1.4591550495110854,30.785977310339014,27.210010924599764,-3.5759663857392496,-4.247309174655815,ssp585,SSP5-8.5（climate）,1.4872826798176069,ssp119,SSP1-1.9（climate）,-0.8904605081445273,2.377743187962134,5,浙江、西藏、青海,河南、湖北、新疆
strict_main_model,严筛主模型,SYS_09851 | Province: No / Year: Yes,SYS_09851,systematic,Province: No / Year: Yes,R1xday | 抗菌药物使用强度 | TA（°C） | PM2.5 | 医疗水平 | 卫生程度（日污水处理能力） | 牲畜饲养-猪年底头数 | 食品消费量,8,TA（°C）,0.8553290261795496,0.6422790746861687,0.4723773054202255,医疗水平,1.406610847764336,30.785977310339014,27.210010924599764,-3.5759663857392496,-4.247309174655815,ssp585,SSP5-8.5（climate）,1.3108701408564962,ssp119,SSP1-1.9（climate）,-0.7436290423878729,2.054499183244369,5,浙江、西藏、广东,河南、湖北、新疆
strict_top_02,严筛模型 2,SYS_10001 | Province: No / Year: Yes,SYS_10001,systematic,Province: No / Year: Yes,R1xday | 抗菌药物使用强度 | TA（°C） | PM2.5 | 医疗水平 | 饮用水供水综合生产能力(万立方米/日) | 牲畜饲养-猪年底头数 | 食品消费量,8,TA（°C）,0.8918085904973961,0.6347530197868431,0.4578477866444546,医疗水平,1.300414451051195,30.785977310339014,27.210010924599764,-3.5759663857392496,-4.247309174655815,ssp585,SSP5-8.5（climate）,1.2909459157148846,ssp119,SSP1-1.9（climate）,-0.7097100174008959,2.0006559331157803,5,浙江、广东、西藏,河南、湖北、新疆
strict_top_03,严筛模型 3,SYS_10002 | Province: No / Year: Yes,SYS_10002,systematic,Province: No / Year: Yes,R1xday | 抗菌药物使用强度 | TA（°C） | PM2.5 | 医疗水平 | 饮用水供水综合生产能力(万立方米/日) | 牲畜饲养-猪年底头数 | 文盲比例,8,TA（°C）,0.9147969466498762,0.6692767756048551,0.6920954744804111,医疗水平,1.2919869633731786,30.785977310339014,27.210010924599764,-3.5759663857392496,-4.247309174655815,ssp585,SSP5-8.5（climate）,1.8106823856707945,ssp119,SSP1-1.9（climate）,-1.149045195833222,2.9597275815040165,5,西藏、青海、浙江,河南、湖北、新疆
strict_top_04,严筛模型 4,SYS_09941 | Province: No / Year: Yes,SYS_09941,systematic,Province: No / Year: Yes,R1xday | 抗菌药物使用强度 | TA（°C） | PM2.5 | 医疗水平 | 城市用水普及率 | 牲畜饲养-猪年底头数 | PA（%） | 食品消费量,9,TA（°C）,0.9790142188548401,0.7563925147800794,0.5106792364915679,医疗水平,1.4734351305860134,30.785977310339014,27.210010924599764,-3.5759663857392496,-4.247309174655815,ssp585,SSP5-8.5（climate）,1.4348090247107033,ssp119,SSP1-1.9（climate）,-0.7943663239073785,2.2291753486180816,5,浙江、广东、西藏,河南、湖北、新疆
strict_top_05,严筛模型 5,SYS_09926 | Province: No / Year: Yes,SYS_09926,systematic,Province: No / Year: Yes,R1xday | 抗菌药物使用强度 | TA（°C） | PM2.5 | 医疗水平 | 城市用水普及率 | 牲畜饲养-猪年底头数 | 食品消费量,8,TA（°C）,0.9469588021691318,0.7552918908630947,0.5358661837527696,医疗水平,1.453179403104753,30.785977310339014,27.210010924599764,-3.5759663857392496,-4.247309174655815,ssp585,SSP5-8.5（climate）,1.479476777887469,ssp119,SSP1-1.9（climate）,-0.8476791859949225,2.3271559638823915,5,浙江、西藏、青海,河南、湖北、新疆
strict_top_06,严筛模型 6,SYS_09927 | Province: No / Year: Yes,SYS_09927,systematic,Province: No / Year: Yes,R1xday | 抗菌药物使用强度 | TA（°C） | PM2.5 | 医疗水平 | 城市用水普及率 | 牲畜饲养-猪年底头数 | 文盲比例,8,TA（°C）,0.9813240622594429,0.7753648617455484,0.7763279009849404,医疗水平,1.4419735927639874,30.785977310339014,27.210010924599764,-3.5759663857392496,-4.247309174655815,ssp585,SSP5-8.5（climate）,2.016498159972515,ssp119,SSP1-1.9（climate）,-1.2967746263608095,3.3132727863333247,5,西藏、青海、浙江,河南、湖北、新疆
strict_top_07,严筛模型 7,SYS_09791 | Province: No / Year: Yes,SYS_09791,systematic,Province: No / Year: Yes,R1xday | 抗菌药物使用强度 | TA（°C） | PM2.5 | 医疗水平 | 生活垃圾无害化处理率 | 牲畜饲养-猪年底头数 | PA（%） | 食品消费量,9,TA（°C）,0.9849217800128025,0.7443787105286491,0.5818394252921388,医疗水平,1.4400681944554719,30.785977310339014,27.210010924599764,-3.5759663857392496,-4.247309174655815,ssp585,SSP5-8.5（climate）,1.5923460279255703,ssp119,SSP1-1.9（climate）,-0.9280176433942546,2.520363671319825,5,浙江、西藏、青海,河南、湖北、新疆
strict_top_08,严筛模型 8,SYS_09776 | Province: No / Year: Yes,SYS_09776,systematic,Province: No / Year: Yes,R1xday | 抗菌药物使用强度 | TA（°C） | PM2.5 | 医疗水平 | 生活垃圾无害化处理率 | 牲畜饲养-猪年底头数 | 食品消费量,8,TA（°C）,0.9544184763183855,0.7434790767495798,0.6052927438247809,医疗水平,1.4211500953151779,30.785977310339014,27.210010924599764,-3.5759663857392496,-4.247309174655815,ssp585,SSP5-8.5（climate）,1.6337267466956962,ssp119,SSP1-1.9（climate）,-0.9777760639595593,2.6115028106552556,5,浙江、西藏、青海,河南、湖北、新疆
robust_systematic,稳健性模型 2,SYS_09556 | Province: No / Year: Yes,SYS_09556,systematic,Province: No / Year: Yes,R1xday | 抗菌药物使用强度 | TA（°C） | PM2.5 | GDP | 城市用水普及率 | 牲畜饲养-猪年底头数 | 主要城市降水量 | 食品消费量,9,TA（°C）,1.0637597396111496,0.7029203300612673,0.3178571152716953,GDP,1.0907232403107088,30.785977310339014,27.210010924599764,-3.5759663857392496,-4.247309174655815,ssp585,SSP5-8.5（climate）,1.040660835648908,ssp119,SSP1-1.9（climate）,-0.414487091321385,1.455147926970293,5,浙江、广东、安徽,河南、河北、新疆
robust_systematic_2,稳健性模型 3,SYS_09557 | Province: No / Year: Yes,SYS_09557,systematic,Province: No / Year: Yes,R1xday | 抗菌药物使用强度 | TA（°C） | PM2.5 | GDP | 城市用水普及率 | 牲畜饲养-猪年底头数 | 主要城市降水量 | 文盲比例,9,TA（°C）,1.0748138137533276,0.718164451016465,0.4553809280930171,R1xday,1.0748138137533276,30.785977310339014,27.210010924599764,-3.5759663857392496,-4.247309174655815,ssp585,SSP5-8.5（climate）,1.344998166636826,ssp119,SSP1-1.9（climate）,-0.6728447757608709,2.0178429423976967,5,浙江、广东、西藏,河南、湖北、新疆
robust_low_vif,稳健性模型 1,方案F_低VIF主线组 | Province: No / Year: Yes,方案F_低VIF主线组,curated,Province: No / Year: Yes,TA（°C） | R1xday | PM2.5 | 抗菌药物使用强度 | GDP | 文盲比例 | 人均日生活用水量(升) | 牲畜饲养-猪年底头数 | 主要城市日照时数,9,TA（°C）,0.8728366167836531,0.7622584481250676,0.5082798550132395,GDP,1.0035438599938886,30.785977310339014,27.210010924599764,-3.5759663857392496,-4.247309174655815,ssp585,SSP5-8.5（climate）,1.3950714320205069,ssp119,SSP1-1.9（climate）,-0.8085045944336271,2.203576026454134,5,浙江、西藏、青海,河南、湖北、新疆
