Province,Year,role_id,role_label,model_id,scheme_id,scheme_source,fe_label,scenario_id,scenario_label,scenario_family,scenario_description,statistic,baseline_pred,scenario_adjustment,scenario_pred,delta_vs_baseline,rx1day_baseline,rx1day_scenario,rx1day_delta,temperature_proxy_variable,temperature_baseline,temperature_scenario,temperature_delta,baseline_mode,baseline_mode_label
上海,2050,main_model,主模型,SYS_08952 | Province: No / Year: Yes,SYS_08952,systematic,Province: No / Year: Yes,baseline_ets,Baseline (X-driven),baseline,"Use future covariate paths as the baseline driver; baseline covariates follow ETS extensions, then future AMR is reconstructed from the historical association model and perturbed by supported climate scenario inputs.",baseline,34.87840386234457,0.0,34.87840386234457,0.0,115.39469490289476,115.39469490289476,0.0,TA（°C）,1.4174513632153836,1.4174513632153836,0.0,x_driven,X-driven / Nature-like simplified baseline
云南,2050,main_model,主模型,SYS_08952 | Province: No / Year: Yes,SYS_08952,systematic,Province: No / Year: Yes,baseline_ets,Baseline (X-driven),baseline,"Use future covariate paths as the baseline driver; baseline covariates follow ETS extensions, then future AMR is reconstructed from the historical association model and perturbed by supported climate scenario inputs.",baseline,40.671964333312864,0.0,40.671964333312864,0.0,20.84046911840916,20.84046911840916,0.0,TA（°C）,1.6867311929954834,1.6867311929954834,0.0,x_driven,X-driven / Nature-like simplified baseline
内蒙古,2050,main_model,主模型,SYS_08952 | Province: No / Year: Yes,SYS_08952,systematic,Province: No / Year: Yes,baseline_ets,Baseline (X-driven),baseline,"Use future covariate paths as the baseline driver; baseline covariates follow ETS extensions, then future AMR is reconstructed from the historical association model and perturbed by supported climate scenario inputs.",baseline,34.93294078143573,0.0,34.93294078143573,0.0,12.931681364238123,12.931681364238123,0.0,TA（°C）,1.173994030107895,1.173994030107895,0.0,x_driven,X-driven / Nature-like simplified baseline
北京,2050,main_model,主模型,SYS_08952 | Province: No / Year: Yes,SYS_08952,systematic,Province: No / Year: Yes,baseline_ets,Baseline (X-driven),baseline,"Use future covariate paths as the baseline driver; baseline covariates follow ETS extensions, then future AMR is reconstructed from the historical association model and perturbed by supported climate scenario inputs.",baseline,41.65444674528375,0.0,41.65444674528375,0.0,85.51864526557621,85.51864526557621,0.0,TA（°C）,1.4284527955482056,1.4284527955482056,0.0,x_driven,X-driven / Nature-like simplified baseline
吉林,2050,main_model,主模型,SYS_08952 | Province: No / Year: Yes,SYS_08952,systematic,Province: No / Year: Yes,baseline_ets,Baseline (X-driven),baseline,"Use future covariate paths as the baseline driver; baseline covariates follow ETS extensions, then future AMR is reconstructed from the historical association model and perturbed by supported climate scenario inputs.",baseline,41.56532333690254,0.0,41.56532333690254,0.0,43.92574370177605,43.92574370177605,0.0,TA（°C）,2.0153814116037148,2.0153814116037148,0.0,x_driven,X-driven / Nature-like simplified baseline
四川,2050,main_model,主模型,SYS_08952 | Province: No / Year: Yes,SYS_08952,systematic,Province: No / Year: Yes,baseline_ets,Baseline (X-driven),baseline,"Use future covariate paths as the baseline driver; baseline covariates follow ETS extensions, then future AMR is reconstructed from the historical association model and perturbed by supported climate scenario inputs.",baseline,29.035292564721857,0.0,29.035292564721857,0.0,15.418393935188469,15.418393935188469,0.0,TA（°C）,1.7197284302866265,1.7197284302866265,0.0,x_driven,X-driven / Nature-like simplified baseline
天津,2050,main_model,主模型,SYS_08952 | Province: No / Year: Yes,SYS_08952,systematic,Province: No / Year: Yes,baseline_ets,Baseline (X-driven),baseline,"Use future covariate paths as the baseline driver; baseline covariates follow ETS extensions, then future AMR is reconstructed from the historical association model and perturbed by supported climate scenario inputs.",baseline,35.88133888142018,0.0,35.88133888142018,0.0,23.534591889264505,23.534591889264505,0.0,TA（°C）,1.5860886654694872,1.5860886654694872,0.0,x_driven,X-driven / Nature-like simplified baseline
宁夏,2050,main_model,主模型,SYS_08952 | Province: No / Year: Yes,SYS_08952,systematic,Province: No / Year: Yes,baseline_ets,Baseline (X-driven),baseline,"Use future covariate paths as the baseline driver; baseline covariates follow ETS extensions, then future AMR is reconstructed from the historical association model and perturbed by supported climate scenario inputs.",baseline,28.325452700936115,0.0,28.325452700936115,0.0,16.651113558278134,16.651113558278134,0.0,TA（°C）,1.4563861881516817,1.4563861881516817,0.0,x_driven,X-driven / Nature-like simplified baseline
安徽,2050,main_model,主模型,SYS_08952 | Province: No / Year: Yes,SYS_08952,systematic,Province: No / Year: Yes,baseline_ets,Baseline (X-driven),baseline,"Use future covariate paths as the baseline driver; baseline covariates follow ETS extensions, then future AMR is reconstructed from the historical association model and perturbed by supported climate scenario inputs.",baseline,28.74842809406832,0.0,28.74842809406832,0.0,0.39409082847862464,0.39409082847862464,0.0,TA（°C）,1.550274700029004,1.550274700029004,0.0,x_driven,X-driven / Nature-like simplified baseline
山东,2050,main_model,主模型,SYS_08952 | Province: No / Year: Yes,SYS_08952,systematic,Province: No / Year: Yes,baseline_ets,Baseline (X-driven),baseline,"Use future covariate paths as the baseline driver; baseline covariates follow ETS extensions, then future AMR is reconstructed from the historical association model and perturbed by supported climate scenario inputs.",baseline,36.12017484615303,0.0,36.12017484615303,0.0,66.69212283533625,66.69212283533625,0.0,TA（°C）,1.905396997449165,1.905396997449165,0.0,x_driven,X-driven / Nature-like simplified baseline
山西,2050,main_model,主模型,SYS_08952 | Province: No / Year: Yes,SYS_08952,systematic,Province: No / Year: Yes,baseline_ets,Baseline (X-driven),baseline,"Use future covariate paths as the baseline driver; baseline covariates follow ETS extensions, then future AMR is reconstructed from the historical association model and perturbed by supported climate scenario inputs.",baseline,35.7013500603809,0.0,35.7013500603809,0.0,31.23025230049783,31.23025230049783,0.0,TA（°C）,1.875571851384927,1.875571851384927,0.0,x_driven,X-driven / Nature-like simplified baseline
广东,2050,main_model,主模型,SYS_08952 | Province: No / Year: Yes,SYS_08952,systematic,Province: No / Year: Yes,baseline_ets,Baseline (X-driven),baseline,"Use future covariate paths as the baseline driver; baseline covariates follow ETS extensions, then future AMR is reconstructed from the historical association model and perturbed by supported climate scenario inputs.",baseline,24.852794958519535,0.0,24.852794958519535,0.0,-8.631537342966666,-8.631537342966666,0.0,TA（°C）,0.9705556516618655,0.9705556516618655,0.0,x_driven,X-driven / Nature-like simplified baseline
广西,2050,main_model,主模型,SYS_08952 | Province: No / Year: Yes,SYS_08952,systematic,Province: No / Year: Yes,baseline_ets,Baseline (X-driven),baseline,"Use future covariate paths as the baseline driver; baseline covariates follow ETS extensions, then future AMR is reconstructed from the historical association model and perturbed by supported climate scenario inputs.",baseline,31.514888935759586,0.0,31.514888935759586,0.0,6.445867726925684,6.445867726925684,0.0,TA（°C）,2.2632810128410634,2.2632810128410634,0.0,x_driven,X-driven / Nature-like simplified baseline
新疆,2050,main_model,主模型,SYS_08952 | Province: No / Year: Yes,SYS_08952,systematic,Province: No / Year: Yes,baseline_ets,Baseline (X-driven),baseline,"Use future covariate paths as the baseline driver; baseline covariates follow ETS extensions, then future AMR is reconstructed from the historical association model and perturbed by supported climate scenario inputs.",baseline,37.023748677903924,0.0,37.023748677903924,0.0,3.9681688680408773,3.9681688680408773,0.0,TA（°C）,2.941051456417414,2.941051456417414,0.0,x_driven,X-driven / Nature-like simplified baseline
江苏,2050,main_model,主模型,SYS_08952 | Province: No / Year: Yes,SYS_08952,systematic,Province: No / Year: Yes,baseline_ets,Baseline (X-driven),baseline,"Use future covariate paths as the baseline driver; baseline covariates follow ETS extensions, then future AMR is reconstructed from the historical association model and perturbed by supported climate scenario inputs.",baseline,20.35050497871873,0.0,20.35050497871873,0.0,65.94019129570692,65.94019129570692,0.0,TA（°C）,1.6582233845184673,1.6582233845184673,0.0,x_driven,X-driven / Nature-like simplified baseline
江西,2050,main_model,主模型,SYS_08952 | Province: No / Year: Yes,SYS_08952,systematic,Province: No / Year: Yes,baseline_ets,Baseline (X-driven),baseline,"Use future covariate paths as the baseline driver; baseline covariates follow ETS extensions, then future AMR is reconstructed from the historical association model and perturbed by supported climate scenario inputs.",baseline,35.86124046281849,0.0,35.86124046281849,0.0,52.036710167827735,52.036710167827735,0.0,TA（°C）,1.6536361897195344,1.6536361897195344,0.0,x_driven,X-driven / Nature-like simplified baseline
河北,2050,main_model,主模型,SYS_08952 | Province: No / Year: Yes,SYS_08952,systematic,Province: No / Year: Yes,baseline_ets,Baseline (X-driven),baseline,"Use future covariate paths as the baseline driver; baseline covariates follow ETS extensions, then future AMR is reconstructed from the historical association model and perturbed by supported climate scenario inputs.",baseline,37.899641619010254,0.0,37.899641619010254,0.0,82.19397863597658,82.19397863597658,0.0,TA（°C）,1.6888385267034949,1.6888385267034949,0.0,x_driven,X-driven / Nature-like simplified baseline
河南,2050,main_model,主模型,SYS_08952 | Province: No / Year: Yes,SYS_08952,systematic,Province: No / Year: Yes,baseline_ets,Baseline (X-driven),baseline,"Use future covariate paths as the baseline driver; baseline covariates follow ETS extensions, then future AMR is reconstructed from the historical association model and perturbed by supported climate scenario inputs.",baseline,41.3436693455855,0.0,41.3436693455855,0.0,130.78396645835275,130.78396645835275,0.0,TA（°C）,2.5944696915011694,2.5944696915011694,0.0,x_driven,X-driven / Nature-like simplified baseline
浙江,2050,main_model,主模型,SYS_08952 | Province: No / Year: Yes,SYS_08952,systematic,Province: No / Year: Yes,baseline_ets,Baseline (X-driven),baseline,"Use future covariate paths as the baseline driver; baseline covariates follow ETS extensions, then future AMR is reconstructed from the historical association model and perturbed by supported climate scenario inputs.",baseline,27.197910836094223,0.0,27.197910836094223,0.0,-14.404012986043568,-14.404012986043568,0.0,TA（°C）,1.193654729869327,1.193654729869327,0.0,x_driven,X-driven / Nature-like simplified baseline
海南,2050,main_model,主模型,SYS_08952 | Province: No / Year: Yes,SYS_08952,systematic,Province: No / Year: Yes,baseline_ets,Baseline (X-driven),baseline,"Use future covariate paths as the baseline driver; baseline covariates follow ETS extensions, then future AMR is reconstructed from the historical association model and perturbed by supported climate scenario inputs.",baseline,28.98854853190989,0.0,28.98854853190989,0.0,67.50588193236415,67.50588193236415,0.0,TA（°C）,0.7579403403345113,0.7579403403345113,0.0,x_driven,X-driven / Nature-like simplified baseline
湖北,2050,main_model,主模型,SYS_08952 | Province: No / Year: Yes,SYS_08952,systematic,Province: No / Year: Yes,baseline_ets,Baseline (X-driven),baseline,"Use future covariate paths as the baseline driver; baseline covariates follow ETS extensions, then future AMR is reconstructed from the historical association model and perturbed by supported climate scenario inputs.",baseline,33.90031040163247,0.0,33.90031040163247,0.0,37.339883522154366,37.339883522154366,0.0,TA（°C）,2.8433712632862562,2.8433712632862562,0.0,x_driven,X-driven / Nature-like simplified baseline
湖南,2050,main_model,主模型,SYS_08952 | Province: No / Year: Yes,SYS_08952,systematic,Province: No / Year: Yes,baseline_ets,Baseline (X-driven),baseline,"Use future covariate paths as the baseline driver; baseline covariates follow ETS extensions, then future AMR is reconstructed from the historical association model and perturbed by supported climate scenario inputs.",baseline,37.513855460370095,0.0,37.513855460370095,0.0,32.73558223131605,32.73558223131605,0.0,TA（°C）,2.649485484520736,2.649485484520736,0.0,x_driven,X-driven / Nature-like simplified baseline
甘肃,2050,main_model,主模型,SYS_08952 | Province: No / Year: Yes,SYS_08952,systematic,Province: No / Year: Yes,baseline_ets,Baseline (X-driven),baseline,"Use future covariate paths as the baseline driver; baseline covariates follow ETS extensions, then future AMR is reconstructed from the historical association model and perturbed by supported climate scenario inputs.",baseline,35.36162271629232,0.0,35.36162271629232,0.0,8.398881438664631,8.398881438664631,0.0,TA（°C）,1.6325132922129513,1.6325132922129513,0.0,x_driven,X-driven / Nature-like simplified baseline
福建,2050,main_model,主模型,SYS_08952 | Province: No / Year: Yes,SYS_08952,systematic,Province: No / Year: Yes,baseline_ets,Baseline (X-driven),baseline,"Use future covariate paths as the baseline driver; baseline covariates follow ETS extensions, then future AMR is reconstructed from the historical association model and perturbed by supported climate scenario inputs.",baseline,29.013668641209627,0.0,29.013668641209627,0.0,36.12441289967077,36.12441289967077,0.0,TA（°C）,1.0068762926840753,1.0068762926840753,0.0,x_driven,X-driven / Nature-like simplified baseline
西藏,2050,main_model,主模型,SYS_08952 | Province: No / Year: Yes,SYS_08952,systematic,Province: No / Year: Yes,baseline_ets,Baseline (X-driven),baseline,"Use future covariate paths as the baseline driver; baseline covariates follow ETS extensions, then future AMR is reconstructed from the historical association model and perturbed by supported climate scenario inputs.",baseline,35.668125461595196,0.0,35.668125461595196,0.0,-0.5629474846893467,-0.5629474846893467,0.0,TA（°C）,0.373176860057352,0.373176860057352,0.0,x_driven,X-driven / Nature-like simplified baseline
贵州,2050,main_model,主模型,SYS_08952 | Province: No / Year: Yes,SYS_08952,systematic,Province: No / Year: Yes,baseline_ets,Baseline (X-driven),baseline,"Use future covariate paths as the baseline driver; baseline covariates follow ETS extensions, then future AMR is reconstructed from the historical association model and perturbed by supported climate scenario inputs.",baseline,39.808319257722076,0.0,39.808319257722076,0.0,34.739959623708856,34.739959623708856,0.0,TA（°C）,2.3676179455051933,2.3676179455051933,0.0,x_driven,X-driven / Nature-like simplified baseline
辽宁,2050,main_model,主模型,SYS_08952 | Province: No / Year: Yes,SYS_08952,systematic,Province: No / Year: Yes,baseline_ets,Baseline (X-driven),baseline,"Use future covariate paths as the baseline driver; baseline covariates follow ETS extensions, then future AMR is reconstructed from the historical association model and perturbed by supported climate scenario inputs.",baseline,29.56818220350785,0.0,29.56818220350785,0.0,62.220191963655544,62.220191963655544,0.0,TA（°C）,1.5160741872309664,1.5160741872309664,0.0,x_driven,X-driven / Nature-like simplified baseline
重庆,2050,main_model,主模型,SYS_08952 | Province: No / Year: Yes,SYS_08952,systematic,Province: No / Year: Yes,baseline_ets,Baseline (X-driven),baseline,"Use future covariate paths as the baseline driver; baseline covariates follow ETS extensions, then future AMR is reconstructed from the historical association model and perturbed by supported climate scenario inputs.",baseline,34.25800495336416,0.0,34.25800495336416,0.0,43.86207973077786,43.86207973077786,0.0,TA（°C）,2.541489009826258,2.541489009826258,0.0,x_driven,X-driven / Nature-like simplified baseline
陕西,2050,main_model,主模型,SYS_08952 | Province: No / Year: Yes,SYS_08952,systematic,Province: No / Year: Yes,baseline_ets,Baseline (X-driven),baseline,"Use future covariate paths as the baseline driver; baseline covariates follow ETS extensions, then future AMR is reconstructed from the historical association model and perturbed by supported climate scenario inputs.",baseline,25.462280381587565,0.0,25.462280381587565,0.0,31.38664933461126,31.38664933461126,0.0,TA（°C）,1.867632396481985,1.867632396481985,0.0,x_driven,X-driven / Nature-like simplified baseline
青海,2050,main_model,主模型,SYS_08952 | Province: No / Year: Yes,SYS_08952,systematic,Province: No / Year: Yes,baseline_ets,Baseline (X-driven),baseline,"Use future covariate paths as the baseline driver; baseline covariates follow ETS extensions, then future AMR is reconstructed from the historical association model and perturbed by supported climate scenario inputs.",baseline,34.2858716761068,0.0,34.2858716761068,0.0,5.951731028433,5.951731028433,0.0,TA（°C）,0.30453701292505897,0.30453701292505897,0.0,x_driven,X-driven / Nature-like simplified baseline
黑龙江,2050,main_model,主模型,SYS_08952 | Province: No / Year: Yes,SYS_08952,systematic,Province: No / Year: Yes,baseline_ets,Baseline (X-driven),baseline,"Use future covariate paths as the baseline driver; baseline covariates follow ETS extensions, then future AMR is reconstructed from the historical association model and perturbed by supported climate scenario inputs.",baseline,31.79784478838347,0.0,31.79784478838347,0.0,26.89610696780329,26.89610696780329,0.0,TA（°C）,1.2997809773965963,1.2997809773965963,0.0,x_driven,X-driven / Nature-like simplified baseline
上海,2050,main_model,主模型,SYS_08952 | Province: No / Year: Yes,SYS_08952,systematic,Province: No / Year: Yes,ssp119,SSP1-1.9（climate）,climate_ssp,将未来 R1xday 与已支持的温度路径替换为 CCKP SSP1-1.9 的省级年度序列，其余协变量保留基线延续路径。,median,34.87840386234457,-1.2602015907266373,33.61820227161793,-1.2602015907266377,115.39469490289476,95.2641108211111,-20.130584081783653,TA（°C）,1.4174513632153836,1.0846666666666671,-0.33278469654871645,x_driven,X-driven / Nature-like simplified baseline
云南,2050,main_model,主模型,SYS_08952 | Province: No / Year: Yes,SYS_08952,systematic,Province: No / Year: Yes,ssp119,SSP1-1.9（climate）,climate_ssp,将未来 R1xday 与已支持的温度路径替换为 CCKP SSP1-1.9 的省级年度序列，其余协变量保留基线延续路径。,median,40.671964333312864,-1.2299400564536933,39.44202427685917,-1.2299400564536924,20.84046911840916,27.281256729999996,6.440787611590835,TA（°C）,1.6867311929954834,0.9706666666666663,-0.716064526328817,x_driven,X-driven / Nature-like simplified baseline
内蒙古,2050,main_model,主模型,SYS_08952 | Province: No / Year: Yes,SYS_08952,systematic,Province: No / Year: Yes,ssp119,SSP1-1.9（climate）,climate_ssp,将未来 R1xday 与已支持的温度路径替换为 CCKP SSP1-1.9 的省级年度序列，其余协变量保留基线延续路径。,median,34.93294078143573,0.06100526249885657,34.99394604393459,0.061005262498859736,12.931681364238123,9.423664233000002,-3.5080171312381214,TA（°C）,1.173994030107895,1.2573333333333323,0.08333930322543726,x_driven,X-driven / Nature-like simplified baseline
北京,2050,main_model,主模型,SYS_08952 | Province: No / Year: Yes,SYS_08952,systematic,Province: No / Year: Yes,ssp119,SSP1-1.9（climate）,climate_ssp,将未来 R1xday 与已支持的温度路径替换为 CCKP SSP1-1.9 的省级年度序列，其余协变量保留基线延续路径。,median,41.65444674528375,-0.8153282097474173,40.83911853553633,-0.8153282097474204,85.51864526557621,72.41541123777779,-13.103234027798422,TA（°C）,1.4284527955482056,1.2143333333333324,-0.2141194622148732,x_driven,X-driven / Nature-like simplified baseline
吉林,2050,main_model,主模型,SYS_08952 | Province: No / Year: Yes,SYS_08952,systematic,Province: No / Year: Yes,ssp119,SSP1-1.9（climate）,climate_ssp,将未来 R1xday 与已支持的温度路径替换为 CCKP SSP1-1.9 的省级年度序列，其余协变量保留基线延续路径。,median,41.56532333690254,-1.7391921648390374,39.8261311720635,-1.7391921648390394,43.92574370177605,34.68657724777778,-9.239166453998273,TA（°C）,2.0153814116037148,1.2779999999999996,-0.7373814116037152,x_driven,X-driven / Nature-like simplified baseline
四川,2050,main_model,主模型,SYS_08952 | Province: No / Year: Yes,SYS_08952,systematic,Province: No / Year: Yes,ssp119,SSP1-1.9（climate）,climate_ssp,将未来 R1xday 与已支持的温度路径替换为 CCKP SSP1-1.9 的省级年度序列，其余协变量保留基线延续路径。,median,29.035292564721857,-0.9464164631704132,28.088876101551445,-0.9464164631704115,15.418393935188469,19.511899606666667,4.093505671478198,TA（°C）,1.7197284302866265,1.1816666666666658,-0.5380617636199607,x_driven,X-driven / Nature-like simplified baseline
天津,2050,main_model,主模型,SYS_08952 | Province: No / Year: Yes,SYS_08952,systematic,Province: No / Year: Yes,ssp119,SSP1-1.9（climate）,climate_ssp,将未来 R1xday 与已支持的温度路径替换为 CCKP SSP1-1.9 的省级年度序列，其余协变量保留基线延续路径。,median,35.88133888142018,0.6384290425029862,36.51976792392316,0.6384290425029846,23.534591889264505,69.80496421,46.27037232073549,TA（°C）,1.5860886654694872,1.213666666666665,-0.37242199880282234,x_driven,X-driven / Nature-like simplified baseline
宁夏,2050,main_model,主模型,SYS_08952 | Province: No / Year: Yes,SYS_08952,systematic,Province: No / Year: Yes,ssp119,SSP1-1.9（climate）,climate_ssp,将未来 R1xday 与已支持的温度路径替换为 CCKP SSP1-1.9 的省级年度序列，其余协变量保留基线延续路径。,median,28.325452700936115,-0.2828404219525614,28.042612278983555,-0.2828404219525602,16.651113558278134,22.336198525555552,5.685084967277419,TA（°C）,1.4563861881516817,1.2286666666666672,-0.2277195214850145,x_driven,X-driven / Nature-like simplified baseline
