parameter,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,effect_scope,variable,variant_id,variant_label,model_id,scheme_id,scheme_source,fe_label
alpha,0.018,0.12,-0.2,0.271,0.005,0.003,572.0,1172.0,1.0,global,,province_only_amplification,Province-only amplification,方案F_低VIF主线组 | Province: No / Year: Yes,方案F_低VIF主线组,curated,Province: No / Year: Yes
beta_main[TA（°C）],-0.027,0.02,-0.066,0.012,0.0,0.0,3259.0,2032.0,1.0,main,TA（°C）,province_only_amplification,Province-only amplification,方案F_低VIF主线组 | Province: No / Year: Yes,方案F_低VIF主线组,curated,Province: No / Year: Yes
beta_main[R1xday],-0.025,0.025,-0.075,0.022,0.0,0.0,3011.0,2499.0,1.0,main,R1xday,province_only_amplification,Province-only amplification,方案F_低VIF主线组 | Province: No / Year: Yes,方案F_低VIF主线组,curated,Province: No / Year: Yes
beta_main[PM2.5],0.111,0.027,0.057,0.161,0.0,0.0,3035.0,2173.0,1.0,main,PM2.5,province_only_amplification,Province-only amplification,方案F_低VIF主线组 | Province: No / Year: Yes,方案F_低VIF主线组,curated,Province: No / Year: Yes
beta_main[抗菌药物使用强度],0.026,0.021,-0.013,0.07,0.0,0.0,3426.0,2328.0,1.0,main,抗菌药物使用强度,province_only_amplification,Province-only amplification,方案F_低VIF主线组 | Province: No / Year: Yes,方案F_低VIF主线组,curated,Province: No / Year: Yes
beta_main[GDP],-0.179,0.061,-0.303,-0.059,0.001,0.001,1934.0,1982.0,1.0,main,GDP,province_only_amplification,Province-only amplification,方案F_低VIF主线组 | Province: No / Year: Yes,方案F_低VIF主线组,curated,Province: No / Year: Yes
beta_main[文盲比例],0.132,0.033,0.071,0.198,0.001,0.001,2977.0,2070.0,1.0,main,文盲比例,province_only_amplification,Province-only amplification,方案F_低VIF主线组 | Province: No / Year: Yes,方案F_低VIF主线组,curated,Province: No / Year: Yes
beta_main[人均日生活用水量(升)],-0.042,0.05,-0.142,0.053,0.001,0.001,2623.0,2359.0,1.0,main,人均日生活用水量(升),province_only_amplification,Province-only amplification,方案F_低VIF主线组 | Province: No / Year: Yes,方案F_低VIF主线组,curated,Province: No / Year: Yes
"beta_main[牲畜饲养
-猪年底头数]",0.166,0.066,0.045,0.304,0.001,0.001,2071.0,2064.0,1.0,main,"牲畜饲养
-猪年底头数",province_only_amplification,Province-only amplification,方案F_低VIF主线组 | Province: No / Year: Yes,方案F_低VIF主线组,curated,Province: No / Year: Yes
beta_main[主要城市日照时数],-0.039,0.039,-0.119,0.034,0.001,0.001,3148.0,2239.0,1.0,main,主要城市日照时数,province_only_amplification,Province-only amplification,方案F_低VIF主线组 | Province: No / Year: Yes,方案F_低VIF主线组,curated,Province: No / Year: Yes
beta_interaction[R1xday × 抗菌药物使用强度],0.032,0.018,-0.0,0.071,0.0,0.0,3300.0,2362.0,1.0,interaction,R1xday × 抗菌药物使用强度,province_only_amplification,Province-only amplification,方案F_低VIF主线组 | Province: No / Year: Yes,方案F_低VIF主线组,curated,Province: No / Year: Yes
sigma_residual,0.247,0.011,0.227,0.269,0.0,0.0,2472.0,2332.0,1.0,global,,province_only_amplification,Province-only amplification,方案F_低VIF主线组 | Province: No / Year: Yes,方案F_低VIF主线组,curated,Province: No / Year: Yes
sigma_province,0.658,0.096,0.482,0.848,0.003,0.002,969.0,1483.0,1.0,global,,province_only_amplification,Province-only amplification,方案F_低VIF主线组 | Province: No / Year: Yes,方案F_低VIF主线组,curated,Province: No / Year: Yes
